scenario,removed_columns,remaining_feature_count,test_acc,test_f1_macro,test_f1_weighted,test_roc_auc_ovr_macro,delta_test_acc,delta_test_f1_macro
full_features,None,40,0.9921081109615435,0.9910075088916381,0.9921141822341232,0.9999108458546873,0.0,0.0
remove_connection_state,conn_state,39,0.99150104257397,0.9903249387969559,0.9915090385539214,0.9998846688916296,-0.0006070683875735172,-0.0006825700946822
remove_query_features,"dns_query, dns_qtype, dns_qclass, dns_rcode, dns_AA, dns_RD, dns_RA, dns_rejected",32,0.9907356085200728,0.9899339422882516,0.9907407148321055,0.9999006352800701,-0.001372502441470691,-0.0010735666033865332
remove_volume_features,"src_ip_bytes, src_bytes, dst_ip_bytes, dst_pkts, src_pkts, dst_bytes",34,0.9799139546546308,0.9777125171580955,0.9799379670828458,0.9994633575751638,-0.012194156306912673,-0.01329499173354265
remove_transport_service_context,"src_port, dst_port, service, proto",36,0.9816823712619104,0.9775264130601796,0.9817776026858918,0.9994377404557192,-0.010425739699633119,-0.013481095831458512
remove_core_top_features,"conn_state, src_ip_bytes, src_port, dst_port, duration, service",34,0.7845962995222636,0.7370083169080255,0.777573746135546,0.9650915580646875,-0.20751181143927988,-0.25399919198361265
