train_size,train_f1_macro_mean,train_f1_macro_std,cv_f1_macro_mean,cv_f1_macro_std,fit_time_mean_s,score_time_mean_s
10103,0.9998015798872503,0.0001098739324286051,0.9815351466818667,0.0003301303102039399,2.3812955220540366,1.02284574508667
25257,0.9995765352266085,3.436885392903033e-05,0.9847130726549048,0.0006340651624882861,3.8298253218332925,1.091031551361084
50515,0.9995433733750998,2.2458294139038464e-05,0.9877448571365003,0.0007993919413061465,4.66127888361613,1.157281716664632
75772,0.999417428588103,1.2643636249717185e-05,0.98859990140595,0.0009370775142429169,5.3243082364400225,1.1843771934509277
101030,0.9993406739766134,4.476774092737444e-05,0.9891689897257896,0.000522253784222527,6.3638871510823565,1.148036003112793
