scenario,target_tpr,threshold,achieved_tpr,achieved_fpr
95:5_tpr95,0.95,0.9999858911285134,0.956,0.0
95:5_tpr99,0.99,0.9998241430005138,0.99,0.00011737089201877934
99:1_tpr95,0.95,0.9999796459271796,0.975,0.0
99:1_tpr99,0.99,0.9999405102309136,0.99,5.868544600938967e-05
