threshold,accuracy,f1,precision,recall_tpr,specificity,fpr,tpr,roc_auc,pr_auc,tn,fp,fn,tp,scenario,pred_time_s,pred_ms_per_sample
0.5,0.9978381374722838,0.980872976949485,0.9624639076034649,1.0,0.9977112676056338,0.002288732394366197,1.0,0.9999930164319248,0.9998821219958122,17001,39,0,1000,95_5_benign_attack,0.19656720000784844,0.010896186253206677
0.5,0.997737819025522,0.9111617312072893,0.8368200836820083,1.0,0.9977112676056338,0.002288732394366197,1.0,0.9999929577464789,0.9994258401017222,17001,39,0,200,99_1_benign_attack,0.12791149999247864,0.007419460556408274
