scenario,threshold,accuracy,f1,precision,recall_tpr,specificity,fpr,tpr,roc_auc,pr_auc,tn,fp,fn,tp
95:5_fpr<=1%,0.996,0.999390243902439,0.9945082376435347,0.9930209371884346,0.996,0.9995892018779343,0.0004107981220657277,0.996,0.9999930164319248,0.9998821219958122,17033,7,4,996
99:1_fpr<=1%,0.999,0.9995359628770302,0.9801980198019802,0.9705882352941176,0.99,0.9996478873239436,0.00035211267605633805,0.99,0.9999929577464789,0.9994258401017222,17034,6,2,198
