scenario,acc_mean,acc_std,f1_mean,f1_std,precision_mean,precision_std,recall_tpr_mean,recall_tpr_std,fpr_mean,fpr_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,fit_s_mean,fit_s_std
"('95_5',)",0.9981152993348117,1.2412670766236366e-16,0.983284169124877,0.0,0.9671179883945842,0.0,1.0,0.0,0.001995305164319249,0.0,0.9999958333333334,0.0,0.9999296566082542,0.0,0.9724551399995107,0.06969974335970228
"('99_1',)",0.9980278422273783,1.2412670766236366e-16,0.9216589861751153,1.2412670766236366e-16,0.8547008547008547,0.0,1.0,0.0,0.001995305164319249,0.0,0.999987676056338,0.0,0.9990516047227074,0.0,0.9724551399995107,0.06969974335970228
