acc,f1,precision,recall_tpr,fpr,roc_auc,pr_auc,seed,scenario,fit_s
0.9981152993348116,0.983284169124877,0.9671179883945842,1.0,0.001995305164319249,0.9999958333333334,0.9999296566082542,7,95_5,1.079221799998777
0.9980278422273782,0.9216589861751152,0.8547008547008547,1.0,0.001995305164319249,0.999987676056338,0.9990516047227074,7,99_1,1.079221799998777
0.9981152993348116,0.983284169124877,0.9671179883945842,1.0,0.001995305164319249,0.9999958333333334,0.9999296566082542,21,95_5,0.9267610000097193
0.9980278422273782,0.9216589861751152,0.8547008547008547,1.0,0.001995305164319249,0.999987676056338,0.9990516047227074,21,99_1,0.9267610000097193
0.9981152993348116,0.983284169124877,0.9671179883945842,1.0,0.001995305164319249,0.9999958333333334,0.9999296566082542,42,95_5,1.0077948000107426
0.9980278422273782,0.9216589861751152,0.8547008547008547,1.0,0.001995305164319249,0.999987676056338,0.9990516047227074,42,99_1,1.0077948000107426
0.9981152993348116,0.983284169124877,0.9671179883945842,1.0,0.001995305164319249,0.9999958333333334,0.9999296566082542,84,95_5,0.9291783999942709
0.9980278422273782,0.9216589861751152,0.8547008547008547,1.0,0.001995305164319249,0.999987676056338,0.9990516047227074,84,99_1,0.9291783999942709
0.9981152993348116,0.983284169124877,0.9671179883945842,1.0,0.001995305164319249,0.9999958333333334,0.9999296566082542,168,95_5,0.9193196999840438
0.9980278422273782,0.9216589861751152,0.8547008547008547,1.0,0.001995305164319249,0.999987676056338,0.9990516047227074,168,99_1,0.9193196999840438
