scenario,removed_columns,remaining_feature_count,val_acc,val_f1_macro,val_f1_weighted,val_prec_macro,val_rec_macro,val_roc_auc_ovr_macro,test_acc,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro,test_roc_auc_ovr_macro,fit_s,refit_s,test_eval_s,delta_test_acc,delta_test_f1_macro,delta_test_f1_weighted,delta_test_roc_auc_ovr_macro
full_features,None,40,0.9908147913532346,0.989711386591257,0.9908137012340007,0.9895479407086891,0.9898821501401724,0.9998900206706504,0.9921081109615435,0.9910075088916381,0.9921141822341232,0.9907648637736316,0.9912817865567758,0.9999108458546873,6.176491799997166,9.053248999989592,1.6804852999921422,0.0,0.0,0.0,0.0
remove_connection_state,conn_state,39,0.9905508485760287,0.989390909661915,0.9905544726477716,0.9891610318862002,0.9896346404850731,0.9998676343655303,0.99150104257397,0.9903249387969559,0.9915090385539214,0.9900891735921267,0.9905932144215309,0.9998846688916296,8.083426800003508,9.312951300002169,1.7283599999791477,-0.0006070683875735172,-0.0006825700946822,-0.000605143680201814,-2.6176963057622515e-05
remove_query_features,"dns_query, dns_qtype, dns_qclass, dns_rcode, dns_AA, dns_RD, dns_RA, dns_rejected",32,0.9901813286879405,0.9892790499804103,0.9901827878567299,0.9890675647140343,0.9895055122915201,0.9998875381613757,0.9907356085200728,0.9899339422882516,0.9907407148321055,0.9896066019388908,0.9902940695074428,0.9999006352800701,7.037633699976141,6.460066300001927,1.5832890000019688,-0.001372502441470691,-0.0010735666033865332,-0.001373467402017714,-1.0210574617142143e-05
remove_volume_features,"src_ip_bytes, src_bytes, dst_ip_bytes, dst_pkts, src_pkts, dst_bytes",34,0.7050175521946842,0.7106867407234954,0.7124641567418919,0.7330576715987646,0.7130184946417446,0.8385053488765979,0.9799139546546308,0.9777125171580955,0.9799379670828458,0.9773703692952994,0.9781595632745028,0.9994633575751638,4.186159500008216,7.956495199992787,1.7899922999786213,-0.012194156306912673,-0.01329499173354265,-0.012176215151277425,-0.0004474882795234558
remove_transport_service_context,"src_port, dst_port, service, proto",36,0.9818671312059546,0.9780462091192675,0.9818917785951258,0.977569223993933,0.9787378177238152,0.9994421786433278,0.9816823712619104,0.9775264130601796,0.9817776026858918,0.9768907136607178,0.9783848589979987,0.9994377404557192,6.849655800004257,8.138287200010382,1.7494669000152498,-0.010425739699633119,-0.013481095831458512,-0.010336579548231417,-0.0004731053989680545
remove_core_top_features,"conn_state, src_ip_bytes, src_port, dst_port, duration, service",34,0.7840948082455723,0.7347049648215689,0.7762422345622451,0.8534807723225808,0.7368858713095379,0.9648175572714612,0.7845962995222636,0.7370083169080255,0.777573746135546,0.8565545139377009,0.738367769118235,0.9650915580646875,5.206411799998023,6.060588299995288,1.567114000004949,-0.20751181143927988,-0.25399919198361265,-0.2145404360985772,-0.034819287789999764
