acc,f1,precision,recall_tpr,fpr,roc_auc,pr_auc,seed,scenario,fit_s
0.9982815964523282,0.9847365829640571,0.9699321047526673,1.0,0.00181924882629108,0.9999961267605635,0.9999341489094303,7,95_5,0.9589109999942593
0.9982018561484919,0.9280742459396751,0.8658008658008658,1.0,0.00181924882629108,0.9999894366197183,0.9991780982905983,7,99_1,0.9589109999942593
0.9983924611973393,0.9857072449482503,0.9718172983479106,1.0,0.0017018779342723004,0.9999959507042253,0.9999310838987978,21,95_5,0.9177795000141487
0.9983178654292343,0.9324009324009324,0.8733624454148472,1.0,0.0017018779342723004,0.9999903169014085,0.9992360152642761,21,99_1,0.9177795000141487
0.9982261640798226,0.984251968503937,0.9689922480620154,1.0,0.0018779342723004694,0.9999941314553991,0.9999002369934793,42,95_5,0.8973700999922585
0.9980858468677494,0.9234338747099768,0.8614718614718615,0.995,0.0018779342723004694,0.999986795774648,0.9990026110438015,42,99_1,0.8973700999922585
0.9982261640798226,0.984251968503937,0.9689922480620154,1.0,0.0018779342723004694,0.9999959507042253,0.9999309890920012,84,95_5,0.9741877000196837
0.9981438515081207,0.9259259259259259,0.8620689655172413,1.0,0.0018779342723004694,0.9999903169014085,0.9992275432484767,84,99_1,0.9741877000196837
0.9982815964523282,0.9847365829640571,0.9699321047526673,1.0,0.00181924882629108,0.9999959507042254,0.9999310725264964,168,95_5,0.9450992000056431
0.9982018561484919,0.9280742459396751,0.8658008658008658,1.0,0.00181924882629108,0.9999914906103287,0.9993190604811149,168,99_1,0.9450992000056431
