scenario,acc_mean,acc_std,f1_mean,f1_std,precision_mean,precision_std,recall_tpr_mean,recall_tpr_std,fpr_mean,fpr_std,pr_auc_mean,pr_auc_std
"('95_5',)",0.9982815964523282,6.789051393526112e-05,0.9847368695768477,0.0005941141781548476,0.9699332007954553,0.0011533223836945642,1.0,0.0,0.0018192488262910797,7.187469902532799e-05,0.999925506284041,1.4189662114438735e-05
"('99_1',)",0.9981902552204176,8.603478523311931e-05,0.9275818449832371,0.0033036436799164653,0.8657010008011363,0.004738010642009435,0.999,0.0022360679774997916,0.0018192488262910797,7.187469902532799e-05,0.9991926656656535,0.00011769053760088657
